Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,87.000000,87.061996,85.222000,86.075996,86.075996,49728500
2019-12-30,85.758003,90.800003,80.416000,88.601997,88.601997,250913500
2020-01-06,88.094002,99.760002,88.000000,95.629997,95.629997,502796500
2020-01-13,98.699997,109.482002,98.400002,102.099998,102.099998,541242000
2020-01-20,106.050003,118.900002,105.681999,112.963997,112.963997,415885500
2020-01-27,108.398003,130.600006,107.856003,130.113998,130.113998,439615500
2020-02-03,134.738007,193.798004,134.703995,149.613998,149.613998,1066859500
2020-02-10,160.000000,163.998001,147.000000,160.005997,160.005997,451961000
2020-02-17,168.320007,188.955994,166.472000,180.199997,180.199997,368772000
2020-02-24,167.800003,172.699997,122.304001,133.598007,133.598007,475341500
2020-03-02,142.251999,161.395996,136.854004,140.695999,140.695999,422718000
2020-03-09,121.078003,133.600006,100.400002,109.323997,109.323997,437700000
2020-03-16,93.900002,98.973999,70.101997,85.505997,85.505997,633756500
2020-03-23,86.720001,112.000000,82.099998,102.872002,102.872002,461652500
2020-03-30,102.052002,108.592003,89.279999,96.001999,96.001999,427716500
2020-04-06,102.239998,115.036003,99.592003,114.599998,114.599998,295638000
2020-04-13,118.031998,154.990005,116.106003,150.778000,150.778000,552075000
2020-04-20,146.539993,153.113998,134.757996,145.029999,145.029999,377849500
2020-04-27,147.522003,173.964005,136.608002,140.264008,140.264008,565615500
2020-05-04,140.199997,164.800003,139.600006,163.884003,163.884003,374831000
2020-05-11,158.102005,168.658005,152.660004,159.834000,159.834000,378463000
2020-05-18,165.556000,166.944000,159.199997,163.376007,163.376007,254268500
2020-05-25,166.899994,167.000000,157.000000,167.000000,167.000000,193296500
2020-06-01,171.600006,181.731995,170.820007,177.132004,177.132004,265771000
2020-06-08,183.800003,205.496002,181.832001,187.056000,187.056000,384031000
2020-06-15,183.557999,203.839996,181.699997,200.179993,200.179993,290353500
2020-06-22,199.990005,202.399994,187.429993,191.947998,191.947998,208983500
2020-06-29,193.802002,245.600006,189.703995,241.731995,241.731995,282609500
2020-07-06,255.337997,309.783997,253.207993,308.929993,308.929993,467130500
2020-07-13,331.799988,358.997986,286.200012,300.167999,300.167999,512010500
2020-07-20,303.802002,337.799988,273.308014,283.399994,283.399994,455574000
2020-07-27,287.000000,312.940002,282.600006,286.152008,286.152008,305567500
