Date,Open,High,Low,Close,Adj Close,Volume
2019-12-23,72.779999,73.492500,72.029999,72.449997,71.389572,146266000
2019-12-30,72.364998,75.150002,71.305000,74.357498,73.269157,526723200
2020-01-06,73.447502,78.167503,73.187500,77.582497,76.446960,670091600
2020-01-13,77.910004,79.684998,77.387497,79.682503,78.516212,652055600
2020-01-20,79.297501,80.832497,78.912498,79.577499,78.412750,463685200
2020-01-27,77.514999,81.962502,76.220001,77.377502,76.244965,866734800
2020-02-03,76.074997,81.305000,75.555000,80.007500,78.836456,652341200
2020-02-10,78.544998,81.805000,78.462502,81.237503,80.238434,492263600
2020-02-17,78.839996,81.162498,77.625000,78.262497,77.300026,476635200
2020-02-24,74.315002,76.044998,64.092499,68.339996,67.499542,1398039200
2020-03-02,70.570000,76.000000,69.430000,72.257500,71.368881,1293800800
2020-03-09,65.937500,71.610001,62.000000,69.492500,68.637878,1616839600
2020-03-16,60.487499,64.769997,57.000000,57.310001,56.605202,1620263600
2020-03-23,57.020000,64.669998,53.152500,61.935001,61.173325,1384190000
2020-03-30,62.685001,65.622498,59.224998,60.352501,59.610279,837010800
2020-04-06,62.724998,67.925003,62.345001,66.997498,66.173553,735437600
2020-04-13,67.077499,72.062500,66.457497,70.699997,69.830521,829547200
2020-04-20,69.487503,70.752502,66.357498,70.742500,69.872490,678844800
2020-04-27,70.449997,74.750000,69.550003,72.267502,71.378761,790054000
2020-05-04,72.292503,77.587502,71.580002,77.532501,76.578995,672706400
2020-05-11,77.025002,79.922501,75.052498,76.927498,76.187119,834147600
2020-05-18,78.292503,80.222504,77.580002,79.722504,78.955223,532904800
2020-05-25,80.875000,81.059998,78.272499,79.485001,78.720009,525560400
2020-06-01,79.437500,82.937500,79.302498,82.875000,82.077377,497736000
2020-06-08,82.562500,88.692497,81.830002,84.699997,83.884811,811826800
2020-06-15,83.312500,89.139999,83.144997,87.430000,86.588539,779940400
2020-06-22,87.834999,93.095001,87.787498,88.407501,87.556633,883003200
2020-06-29,88.312500,92.617500,87.820000,91.027496,90.151413,495648000
2020-07-06,92.500000,96.317497,92.467499,95.919998,94.996834,564072000
2020-07-13,97.264999,99.955002,93.877502,96.327499,95.400414,718600800
2020-07-20,96.417503,99.250000,89.144997,92.614998,91.723625,665196000
2020-07-27,93.709999,106.415001,93.247498,106.260002,105.237312,847635600
2020-08-03,108.199997,114.412498,107.892502,111.112503,110.043114,1003474000
2020-08-10,112.599998,116.042503,109.107498,114.907501,114.006767,941551200
2020-08-17,116.062500,124.867500,113.962502,124.370003,123.395096,835695200
2020-08-24,128.697495,128.785004,123.052498,124.807503,123.829170,1063638000
2020-08-31,127.580002,137.979996,110.889999,120.959999,120.011826,1167976600
2020-09-07,113.949997,120.500000,110.000000,112.000000,111.122055,771441800
2020-09-14,114.720001,118.830002,106.089996,106.839996,106.002510,944587000
2020-09-21,104.540001,112.860001,103.099998,112.279999,111.399857,847212600
2020-09-28,115.010002,117.720001,112.220001,113.019997,112.134064,640562200
2020-10-05,113.910004,117.000000,112.250000,116.970001,116.053108,548575100
2020-10-12,120.059998,125.389999,118.150002,119.019997,118.087021,881222300
2020-10-19,119.959999,120.419998,114.279999,115.040001,114.138237,519569600
2020-10-26,114.010002,117.279999,107.720001,108.860001,108.006676,684467100
